nombre,familia,exp_name,method,time,resultado,n,m,resultado_exp,first,dif,tabu,v,l,gap
att48,att,exp_tabu,ts,2.879441022872925,10628,48,1176,10916,1,288,100,40,801,0.0270982310876928
att48,att,exp_tabu,ts,3.379568099975586,10628,48,1176,10916,1,288,100,40,901,0.0270982310876928
att48,att,exp_tabu,ts,3.628910779953003,10628,48,1176,10916,1,288,100,40,1001,0.0270982310876928
att48,att,exp_tabu,ts,3.9352214336395264,10628,48,1176,10916,1,288,100,40,1101,0.0270982310876928
att48,att,exp_tabu,ts,4.422670364379883,10628,48,1176,10916,1,288,100,40,1201,0.0270982310876928
att48,att,exp_tabu,ts,4.631087064743042,10628,48,1176,10916,1,288,100,40,1301,0.0270982310876928
att48,att,exp_tabu,ts,5.097817659378052,10628,48,1176,10916,1,288,100,40,1401,0.0270982310876928
att48,att,exp_tabu,ts,5.512936115264893,10628,48,1176,10916,1,288,100,40,1501,0.0270982310876928
att48,att,exp_tabu,ts,0.0235002040863037,10628,48,1176,12312,1,1684,150,40,1,0.1584493789988709
att48,att,exp_tabu,ts,0.3235118389129638,10628,48,1176,11058,1,430,150,40,101,0.0404591644712081
att48,att,exp_tabu,ts,0.7749300003051758,10628,48,1176,10979,1,351,150,40,201,0.0330259691381257
att48,att,exp_tabu,ts,1.356985092163086,10628,48,1176,10979,1,351,150,40,301,0.0330259691381257
att48,att,exp_tabu,ts,1.8104538917541504,10628,48,1176,10979,1,351,150,40,401,0.0330259691381257
att48,att,exp_tabu,ts,2.30599331855774,10628,48,1176,10979,1,351,150,40,501,0.0330259691381257
att48,att,exp_tabu,ts,2.6989004611968994,10628,48,1176,10916,1,288,150,40,601,0.0270982310876928
att48,att,exp_tabu,ts,3.268739938735962,10628,48,1176,10916,1,288,150,40,701,0.0270982310876928
att48,att,exp_tabu,ts,3.796432733535767,10628,48,1176,10916,1,288,150,40,801,0.0270982310876928
att48,att,exp_tabu,ts,4.4497716426849365,10628,48,1176,10916,1,288,150,40,901,0.0270982310876928
att48,att,exp_tabu,ts,4.820327281951904,10628,48,1176,10916,1,288,150,40,1001,0.0270982310876928
att48,att,exp_tabu,ts,5.433535575866699,10628,48,1176,10916,1,288,150,40,1101,0.0270982310876928
att48,att,exp_tabu,ts,5.896894216537476,10628,48,1176,10916,1,288,150,40,1201,0.0270982310876928
att48,att,exp_tabu,ts,6.305691242218018,10628,48,1176,10916,1,288,150,40,1301,0.0270982310876928
att48,att,exp_tabu,ts,7.152989387512207,10628,48,1176,10916,1,288,150,40,1401,0.0270982310876928
att48,att,exp_tabu,ts,7.210940599441528,10628,48,1176,10916,1,288,150,40,1501,0.0270982310876928
att48,att,exp_tabu,ts,0.0241909027099609,10628,48,1176,12312,1,1684,200,40,1,0.1584493789988709
att48,att,exp_tabu,ts,0.3590269088745117,10628,48,1176,11058,1,430,200,40,101,0.0404591644712081
att48,att,exp_tabu,ts,0.9598112106323242,10628,48,1176,10979,1,351,200,40,201,0.0330259691381257
att48,att,exp_tabu,ts,1.451347827911377,10628,48,1176,10979,1,351,200,40,301,0.0330259691381257
att48,att,exp_tabu,ts,2.2305729389190674,10628,48,1176,10979,1,351,200,40,401,0.0330259691381257
att48,att,exp_tabu,ts,2.8908019065856934,10628,48,1176,10979,1,351,200,40,501,0.0330259691381257
att48,att,exp_tabu,ts,3.423606634140014,10628,48,1176,10979,1,351,200,40,601,0.0330259691381257
att48,att,exp_tabu,ts,4.371768951416016,10628,48,1176,10979,1,351,200,40,701,0.0330259691381257
att48,att,exp_tabu,ts,4.5023627281188965,10628,48,1176,10979,1,351,200,40,801,0.0330259691381257
att48,att,exp_tabu,ts,5.410059690475464,10628,48,1176,10979,1,351,200,40,901,0.0330259691381257
att48,att,exp_tabu,ts,6.118452787399292,10628,48,1176,10979,1,351,200,40,1001,0.0330259691381257
att48,att,exp_tabu,ts,6.5747363567352295,10628,48,1176,10979,1,351,200,40,1101,0.0330259691381257
att48,att,exp_tabu,ts,7.245367527008057,10628,48,1176,10979,1,351,200,40,1201,0.0330259691381257
att48,att,exp_tabu,ts,7.762903690338135,10628,48,1176,10979,1,351,200,40,1301,0.0330259691381257
att48,att,exp_tabu,ts,8.343301057815552,10628,48,1176,10979,1,351,200,40,1401,0.0330259691381257
att48,att,exp_tabu,ts,9.429148197174072,10628,48,1176,10979,1,351,200,40,1501,0.0330259691381257
berlin52,berlin,exp_tabu,ts,0.0208895206451416,7542,52,1378,9454,1,1912,20,40,1,0.2535136568549456
berlin52,berlin,exp_tabu,ts,0.2082366943359375,7542,52,1378,8643,1,1101,20,40,101,0.1459824980111376
berlin52,berlin,exp_tabu,ts,0.4146339893341064,7542,52,1378,8643,1,1101,20,40,201,0.1459824980111376
berlin52,berlin,exp_tabu,ts,0.5758309364318848,7542,52,1378,8643,1,1101,20,40,301,0.1459824980111376
berlin52,berlin,exp_tabu,ts,0.775172233581543,7542,52,1378,8643,1,1101,20,40,401,0.1459824980111376
berlin52,berlin,exp_tabu,ts,1.078094482421875,7542,52,1378,8643,1,1101,20,40,501,0.1459824980111376
berlin52,berlin,exp_tabu,ts,1.2293026447296145,7542,52,1378,8643,1,1101,20,40,601,0.1459824980111376
berlin52,berlin,exp_tabu,ts,1.4031496047973633,7542,52,1378,8643,1,1101,20,40,701,0.1459824980111376
berlin52,berlin,exp_tabu,ts,1.5931169986724854,7542,52,1378,8643,1,1101,20,40,801,0.1459824980111376
berlin52,berlin,exp_tabu,ts,1.8209071159362795,7542,52,1378,8643,1,1101,20,40,901,0.1459824980111376
berlin52,berlin,exp_tabu,ts,1.963937759399414,7542,52,1378,8643,1,1101,20,40,1001,0.1459824980111376
berlin52,berlin,exp_tabu,ts,2.1480021476745605,7542,52,1378,8643,1,1101,20,40,1101,0.1459824980111376
berlin52,berlin,exp_tabu,ts,2.3745269775390625,7542,52,1378,8643,1,1101,20,40,1201,0.1459824980111376
berlin52,berlin,exp_tabu,ts,2.511899948120117,7542,52,1378,8643,1,1101,20,40,1301,0.1459824980111376
berlin52,berlin,exp_tabu,ts,2.777071237564087,7542,52,1378,8643,1,1101,20,40,1401,0.1459824980111376
berlin52,berlin,exp_tabu,ts,2.873904228210449,7542,52,1378,8643,1,1101,20,40,1501,0.1459824980111376
berlin52,berlin,exp_tabu,ts,0.0203757286071777,7542,52,1378,9454,1,1912,40,40,1,0.2535136568549456
berlin52,berlin,exp_tabu,ts,0.2397031784057617,7542,52,1378,8643,1,1101,40,40,101,0.1459824980111376
berlin52,berlin,exp_tabu,ts,0.5155293941497803,7542,52,1378,8643,1,1101,40,40,201,0.1459824980111376
berlin52,berlin,exp_tabu,ts,0.8112666606903076,7542,52,1378,8643,1,1101,40,40,301,0.1459824980111376
berlin52,berlin,exp_tabu,ts,1.0857408046722412,7542,52,1378,8643,1,1101,40,40,401,0.1459824980111376
berlin52,berlin,exp_tabu,ts,1.2391221523284912,7542,52,1378,8643,1,1101,40,40,501,0.1459824980111376
berlin52,berlin,exp_tabu,ts,1.4878144264221191,7542,52,1378,8643,1,1101,40,40,601,0.1459824980111376
berlin52,berlin,exp_tabu,ts,1.779759645462036,7542,52,1378,8643,1,1101,40,40,701,0.1459824980111376
berlin52,berlin,exp_tabu,ts,2.130329132080078,7542,52,1378,8643,1,1101,40,40,801,0.1459824980111376
berlin52,berlin,exp_tabu,ts,2.3490140438079834,7542,52,1378,8643,1,1101,40,40,901,0.1459824980111376
berlin52,berlin,exp_tabu,ts,2.619866371154785,7542,52,1378,8643,1,1101,40,40,1001,0.1459824980111376
berlin52,berlin,exp_tabu,ts,2.812704563140869,7542,52,1378,8643,1,1101,40,40,1101,0.1459824980111376
berlin52,berlin,exp_tabu,ts,3.0099523067474365,7542,52,1378,8643,1,1101,40,40,1201,0.1459824980111376
